keywords,0
Ik haat jou,1
a dirty,2
achterlijk,1094
achterlijke,1716
achterlijken,29
all white,1
allah akbar,1
allochtoon,149
always fuck,1
ass white,1
autist,62
banga,1
be killed,2
blacks,16
blame the,7
blanke,1106
blanke jongen,8
blanken,488
blauwen,8
bontkraagje,1
cultuurverrijker,1
dan flikker,3
de fuck doen,3
de negers,9
de schuld geven,576
de vrouwelijke,56
debiel,468
die flikker,5
die neger,3
domme aap,2
domme neger,2
dood alles,1
doos,655
een blanke,139
een neger,13
een vuile,83
faggot,1
faggots,2
fags,1
flikker,455
flikker dat,3
flikker een,4
flikker en,5
flikker maar,7
flikker voor,2
flikkers,41
flikkers die,1
flikkers zijn,2
fuck outta here,1
gay ass,1
gedood worden,15
geitenneuker,1
geitenneukers,1
getrouwd met,51
haat alles,2
haatbaard,9
haatbaarden,11
hate you,1
helemaal wit,1
hoer,127
hoeren,218
hoertje,5
homo,225
hun hoofden,18
huppelkut,5
huppelkutje,8
ik flikker,1
inteelt,62
is a fucking,3
is een fucking,26
is white,4
is wit,9
janetten,1
je flikker,7
jij verdomme,2
kaaskop,6
kakker,16
kansarme,128
kansenparel,9
kech,9
kechs,4
kenau,4
kill yourself,1
koelie,2
koelies,1
kopvod,7
kopvodden,6
kopvoddentaks,3
kreng,54
krimpt in,29
lesbo,3
lichtekooi,1
lichtekooien,1
makaken,7
manwijf,4
medelander,12
mocro,16
mof,3
moffen,22
mokkel,27
mokkels,1
mokkeltje,1
mongolen,160
mongool,124
mongooltje,2
muts,218
neger,64
negers,107
negers zijn,2
nicht,492
nigger,4
niggers,7
nikker,1
of white,2
poepchinees,1
proleet,12
prullenbak met,2
queers,2
rapaille,5
rapalje,7
reetkever,3
rifaap,1
savages,1
slaaf,298
slave,4
slet,50
sletje,9
sletten,10
smous,2
spaghettivreter,1
spleetoog,4
stoephoer,2
teef,16
the fuck do,1
their heads,1
tokkie,130
tokkies,309
trailer park,1
trut,138
tut,22
van flikkers,2
verkracht,119
verkracht door,10
verkracht en,25
verkracht worden,6
verkrachten,68
white boy,2
white person,1
white trash,2
whites,11
worden vermoord,75
zelfmoord plegen,57
zwarten,352
